Date,HAL
2020-11-18,15.25
2020-11-19,15.86
2020-11-20,15.76
2020-11-23,17.17
2020-11-24,17.75
2020-11-25,17.70
2020-11-27,17.41
2020-11-30,16.44
2020-12-01,16.93
2020-12-02,17.50
2020-12-03,17.91
2020-12-04,19.31
2020-12-07,18.85
2020-12-08,19.64
2020-12-09,19.39
2020-12-10,19.87
2020-12-11,19.71
2020-12-14,18.84
2020-12-15,19.95
2020-12-16,20.02
2020-12-17,19.96
2020-12-18,19.56
2020-12-21,19.23
2020-12-22,19.00
2020-12-23,19.36
2020-12-24,19.09
2020-12-28,18.77
2020-12-29,18.52
2020-12-30,19.00
2020-12-31,18.78
2021-01-04,18.71
2021-01-05,20.28
2021-01-06,20.69
2021-01-07,20.22
2021-01-08,20.00
2021-01-11,20.44
2021-01-12,21.99
2021-01-13,21.44
2021-01-14,21.63
2021-01-15,20.61
2021-01-19,20.41
2021-01-20,19.96
2021-01-21,19.29
2021-01-22,19.12
2021-01-25,18.51
2021-01-26,18.09
2021-01-27,17.17
2021-01-28,18.16
2021-01-29,17.52
2021-02-01,17.75
2021-02-02,17.91
2021-02-03,18.69
2021-02-04,18.99
2021-02-05,18.86
2021-02-08,19.92
2021-02-09,19.67
2021-02-10,20.13
2021-02-11,19.31
2021-02-12,20.05
2021-02-16,20.47
2021-02-17,20.42
2021-02-18,19.45
2021-02-19,20.08
2021-02-22,21.00
2021-02-23,20.81
2021-02-24,22.13
2021-02-25,21.89
2021-02-26,21.70
2021-03-01,22.87
2021-03-02,22.19
2021-03-03,22.19
2021-03-04,21.99
2021-03-05,23.74
2021-03-08,24.26
2021-03-09,23.37
2021-03-10,24.04
2021-03-11,23.74
2021-03-12,23.92
2021-03-15,23.87
2021-03-16,22.77
2021-03-17,23.25
2021-03-18,22.08
2021-03-19,21.70
2021-03-22,21.45
2021-03-23,20.72
2021-03-24,21.21
2021-03-25,21.11
2021-03-26,21.70
2021-03-29,21.15
2021-03-30,21.41
2021-03-31,21.37
2021-04-01,21.83
2021-04-05,21.23
2021-04-06,21.17
2021-04-07,21.33
2021-04-08,21.26
2021-04-09,20.98
2021-04-12,20.93
2021-04-13,20.59
2021-04-14,21.57
2021-04-15,20.99
2021-04-16,20.60
2021-04-19,20.58
2021-04-20,19.73
2021-04-21,19.02
2021-04-22,19.14
2021-04-23,18.98
2021-04-26,19.35
2021-04-27,19.24
2021-04-28,20.05
2021-04-29,20.27
2021-04-30,19.48
2021-05-03,20.57
2021-05-04,20.87
2021-05-05,21.91
2021-05-06,22.08
2021-05-07,22.85
2021-05-10,22.64
2021-05-11,22.51
2021-05-12,22.53
2021-05-13,22.28
2021-05-14,22.96
2021-05-17,23.68
2021-05-18,23.19
2021-05-19,22.44
2021-05-20,22.29
2021-05-21,22.36
2021-05-24,22.41
2021-05-25,21.85
2021-05-26,22.19
2021-05-27,22.42
2021-05-28,22.35
2021-06-01,23.29
2021-06-02,24.30
2021-06-03,24.64
2021-06-04,24.66
2021-06-07,24.25
2021-06-08,24.36
2021-06-09,24.21
2021-06-10,23.86
2021-06-11,23.98
2021-06-14,23.55
2021-06-15,24.14
2021-06-16,24.05
2021-06-17,22.67
2021-06-18,21.94
2021-06-21,23.30
2021-06-22,23.44
2021-06-23,23.46
2021-06-24,23.75
2021-06-25,23.89
2021-06-28,22.66
2021-06-29,22.62
2021-06-30,23.07
2021-07-01,23.75
2021-07-02,23.73
2021-07-06,22.18
2021-07-07,21.57
2021-07-08,21.56
2021-07-09,22.33
2021-07-12,22.37
2021-07-13,22.04
2021-07-14,21.40
2021-07-15,20.64
2021-07-16,20.02
2021-07-19,19.32
2021-07-20,20.03
2021-07-21,20.72
2021-07-22,20.50
2021-07-23,20.07
2021-07-26,20.64
2021-07-27,20.59
2021-07-28,21.04
2021-07-29,21.20
2021-07-30,20.63
2021-08-02,20.11
2021-08-03,20.32
2021-08-04,19.16
2021-08-05,19.44
2021-08-06,19.96
2021-08-09,19.65
2021-08-10,20.16
2021-08-11,20.58
2021-08-12,20.39
2021-08-13,20.09
2021-08-16,19.61
2021-08-17,19.13
2021-08-18,18.86
2021-08-19,18.11
2021-08-20,18.17
2021-08-23,19.17
2021-08-24,20.01
2021-08-25,20.12
2021-08-26,19.73
2021-08-27,20.50
2021-08-30,20.11
2021-08-31,19.98
2021-09-01,19.69
2021-09-02,20.46
2021-09-03,20.17
2021-09-07,19.91
2021-09-08,19.35
2021-09-09,19.32
2021-09-10,19.53
2021-09-13,20.44
2021-09-14,20.07
2021-09-15,20.80
2021-09-16,20.59
2021-09-17,20.27
2021-09-20,19.60
2021-09-21,19.48
2021-09-22,19.75
2021-09-23,20.81
2021-09-24,21.00
2021-09-27,22.14
2021-09-28,22.39
2021-09-29,22.16
2021-09-30,21.62
2021-10-01,22.28
2021-10-04,23.02
2021-10-05,23.41
2021-10-06,22.99
2021-10-07,23.38
2021-10-08,23.94
2021-10-11,24.68
2021-10-12,24.49
2021-10-13,24.49
2021-10-14,24.80
2021-10-15,26.01
2021-10-18,26.01
2021-10-19,26.10
2021-10-20,26.46
2021-10-21,25.35
2021-10-22,25.89
2021-10-25,26.22
2021-10-26,26.16
2021-10-27,25.12
2021-10-28,25.61
2021-10-29,24.99
2021-11-01,25.58
2021-11-02,25.38
2021-11-03,24.72
2021-11-04,24.52
2021-11-05,24.69
2021-11-08,25.12
2021-11-09,25.08
2021-11-10,23.83
2021-11-11,23.72
2021-11-12,23.57
2021-11-15,23.40
2021-11-16,23.61
2021-11-17,22.97
